ID.,性別,学年,専攻,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20
10003,2,3,1,4,4,2,4,3,3,4,2,3,4,1,4,4,3,3,4,3,1,4,1
10004,2,3,1,4,3,2,4,3,1,2,2,1,1,2,3,2,3,2,1,2,1,2,2
10010,2,3,1,,4,1,4,4,1,4,1,4,4,1,4,4,4,4,4,4,1,4,1
10018,1,2,1,2,4,1,4,3,1,2,1,3,3,2,4,3,3,3,4,3,1,3,3
10019,1,2,1,3,2,3,4,2,3,4,1,3,2,3,2,3,2,2,2,3,2,3,4
10020,2,3,1,4,4,1,4,3,1,4,2,3,4,2,4,3,3,3,4,3,1,3,2
10032,1,2,1,2,2,1,1,2,4,2,3,2,2,3,2,2,2,2,2,2,2,1,3
10033,1,2,1,4,3,4,4,4,4,4,3,3,2,3,3,2,3,3,3,3,2,3,1
10034,1,2,1,4,4,3,4,4,1,4,1,3,4,3,4,3,3,3,3,4,1,3,2
10056,1,2,1,4,3,2,4,4,2,4,3,2,2,3,3,1,3,3,3,4,2,3,2
10059,2,3,1,1,4,1,3,1,1,4,1,4,2,1,3,1,1,1,1,2,1,4,4
10060,2,3,1,3,4,3,4,4,3,4,2,4,2,2,3,3,3,2,2,3,1,3,1
10075,1,1,1,3,3,1,3,3,2,3,2,2,3,2,3,2,3,2,3,3,2,2,2
10077,2,1,1,4,4,2,3,4,3,4,1,2,4,1,3,3,2,3,3,4,1,2,3
10085,2,1,1,3,4,2,4,4,4,4,4,3,1,2,4,2,4,4,4,4,3,3,1
10086,2,1,1,3,3,1,3,3,2,3,3,3,4,1,2,1,3,1,4,2,1,3,4
10088,2,3,1,2,3,2,3,3,2,3,1,3,3,2,3,3,3,3,3,3,2,3,1
10090,2,1,1,1,4,1,4,4,4,4,4,3,4,1,4,4,4,4,4,4,4,4,1
10091,2,1,1,3,3,1,4,3,1,4,1,1,2,1,4,4,3,1,2,4,1,2,2
10092,2,1,1,4,4,4,4,4,1,4,3,3,3,3,4,4,4,2,4,4,2,3,1
10093,1,1,1,2,2,1,2,2,1,2,1,2,1,1,2,2,2,2,2,2,1,2,3
10094,2,1,1,4,3,1,4,4,1,3,3,2,2,1,3,2,3,1,2,2,2,1,1
10095,2,1,1,4,4,2,4,4,2,4,2,2,4,2,4,4,4,3,4,4,2,2,1
10098,1,1,1,2,3,2,3,2,1,2,1,2,2,2,2,2,2,2,2,3,1,2,4
10102,2,1,1,3,4,2,4,4,3,4,2,3,4,3,4,2,4,4,4,4,2,4,1
10117,2,3,1,4,4,2,4,3,3,3,2,2,3,3,4,4,2,3,3,3,2,2,3
10118,2,3,1,2,3,1,3,2,2,4,1,4,1,2,4,2,2,3,1,3,1,4,4
10120,2,1,1,4,3,1,4,1,1,4,3,4,1,1,3,4,3,2,1,3,2,4,1
10124,2,1,1,1,2,1,1,1,1,3,1,2,1,1,2,2,2,1,1,1,1,2,4
10128,2,1,1,3,3,1,4,3,1,3,1,3,2,1,4,3,2,2,3,4,1,3,3
10131,2,2,1,3,4,2,3,3,1,1,1,1,4,2,2,3,2,1,2,1,1,1,1
10132,2,2,1,2,3,1,3,1,1,3,1,4,2,3,3,2,1,1,2,1,1,3,4
10133,2,2,1,3,4,1,4,4,3,4,2,4,4,2,4,2,3,3,4,4,2,4,2
10134,2,2,1,3,4,1,4,4,1,4,2,3,3,2,4,4,3,3,2,3,1,2,2
10142,2,1,1,4,4,2,4,4,1,4,1,2,3,2,3,3,2,2,4,3,2,2,1
10143,1,2,1,3,3,1,4,3,1,3,1,3,2,2,3,3,3,2,3,3,1,3,4
10144,1,1,1,2,3,3,4,3,2,4,1,4,3,4,4,2,1,3,2,2,1,4,3
10145,2,2,1,1,4,1,1,1,1,1,1,1,2,1,3,1,1,1,2,1,1,2,4
10146,2,2,1,2,3,3,3,3,2,3,3,2,3,2,3,2,3,2,2,3,1,3,1
10149,1,1,1,3,3,2,4,4,3,4,2,3,3,2,4,1,4,3,4,3,3,3,1
10152,1,1,1,4,4,2,4,4,4,4,2,4,4,2,4,4,3,4,4,4,4,4,2
10154,2,3,1,2,3,1,2,1,1,3,1,3,1,1,2,1,2,1,1,1,1,2,4
10157,2,1,1,2,4,1,3,4,3,4,3,3,3,2,3,3,4,3,3,3,2,3,1
10159,2,1,1,3,3,1,3,2,3,4,2,2,2,2,4,2,3,3,3,4,2,2,1
10160,2,1,1,3,4,3,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,1
10167,2,2,1,3,3,2,3,3,2,3,3,2,3,2,2,2,3,2,3,3,2,2,2
